umbrella,n.,雨伞
please,int.,请
here,adv.,这里
my,pron.,我的
ticket,n.,票
number,n.,号码；数字
five,n.,五
sorry,int.,对不起
sir,n.,先生
cloakroom,n.,衣帽间；行李寄存处
suit,n.,西装；套装
school,n.,学校
teacher,n.,老师
son,n.,儿子
daughter,n.,女儿
Miss,n.,小姐
new,adj.,新的
student,n.,学生
French,adj.,法国的
French,n.,法语
German,adj.,德国的
German,n.,德语
nice,adj.,好的；不错的
meet,v.,遇见；见面
Japanese,adj.,日本的
Japanese,n.,日语
Korean,adj.,韩国的
Korean,n.,韩语
Chinese,adj.,中国的
Chinese,n.,中文
too,adv.,也；太
make,n.,品牌；型号
make,v.,制造；做
Swedish,adj.,瑞典的
Swedish,n.,瑞典语
English,adj.,英国的；英语的
English,n.,英语
American,adj.,美国的
American,n.,美国人
Italian,adj.,意大利的
Italian,n.,意大利语
Volvo,n.,沃尔沃
Peugeot,n.,标致
Mercedes,n.,奔驰
Toyota,n.,丰田
Daewoo,n.,大宇
Mini,n.,迷你
Ford,n.,福特
Fiat,n.,菲亚特
I,pron.,我
am,v.,是
are,v.,是
name,n.,名字
what,pron.,什么
nationality,n.,国籍
job,n.,工作；职业
engineer,n.,工程师
policeman,n.,警察
policewoman,n.,女警
taxi driver,n.,出租车司机；的士司机
air hostess,n.,空姐
postman,n.,邮递员；邮差
nurse,n.,护士
mechanic,n.,技工；维修师傅
hairdresser,n.,发型师
housewife,n.,家庭主妇
milkman,n.,送奶工
hello,int.,你好
hi,int.,嗨
how,adv.,怎样；如何
today,n.,今天
well,adj.,健康的
well,adv.,好地
fine,adj.,好的；不错的
thanks,int.,谢谢
goodbye,int.,再见
see,v.,看见
fat,adj.,胖的
woman,n.,女人
thin,adj.,瘦的
tall,adj.,高的
short,adj.,矮的；短的
dirty,adj.,脏的
clean,adj.,干净的
clean,v.,打扫
hot,adj.,热的
cold,adj.,冷的
old,adj.,老的；旧的
young,adj.,年轻的
busy,adj.,忙的
lazy,adj.,懒的
whose,pron.,谁的
blue,adj.,蓝色的
perhaps,adv.,也许；可能
white,adj.,白色的
catch,v.,抓住；赶上
father,n.,父亲；爸爸
mother,n.,母亲；妈妈
blouse,n.,女士衬衫
sister,n.,姐妹
tie,n.,领带
tie,v.,绑；系
brother,n.,兄弟
his,pron.,他的
her,pron.,她的
colour,n.,颜色
green,adj.,绿色的
come,v.,来
upstairs,adv.,楼上
smart,adj.,聪明的；时髦的
hat,n.,帽子
same,adj.,相同的
lovely,adj.,可爱的；漂亮的
case,n.,箱子；情况；案例
carpet,n.,地毯
dog,n.,狗
customs,n.,海关
officer,n.,官员；警官
girl,n.,女孩
Danish,adj.,丹麦的
friend,n.,朋友
Norwegian,adj.,挪威的
passport,n.,护照
brown,adj.,棕色的；褐色的
tourist,n.,游客
Russian,adj.,俄罗斯的
Russian,n.,俄语
Dutch,adj.,荷兰的
these,pron.,这些
red,adj.,红色的
grey,adj.,灰色的
yellow,adj.,黄色的
black,adj.,黑色的
orange,n.,橙子
orange,adj.,橙色的
employee,n.,员工
hard-working,adj.,勤奋的；努力工作的
sales rep,n.,销售代表
man,n.,男人
office,n.,办公室
assistant,n.,助理；助手
matter,n.,事情；问题
matter,v.,要紧
